model;class0;class1;micro;fold_no
naive_bayes1;0.42;0.45;0.43638392857142855;0
naive_bayes2;;;;0
naive_bayes3;;;;0
logistic_regression_1;0.9;0.63;0.8430803571428571;0
logistic_regression_after_gs;0.9;0.63;0.8433035714285714;0
logistic_regression_after_rs;0.9;0.63;0.8430803571428571;0
knn_1;0.89;0.62;0.8294642857142858;0
knn_after_gs;0.89;0.62;0.8350446428571429;0
bagging_knn;0.89;0.61;0.83125;0
svc_1;0.91;0.65;0.8526785714285715;0
svc_after_gs;0.91;0.65;0.8526785714285715;0
dt;0.88;0.61;0.8160714285714286;0
random_forest;0.9;0.58;0.8412946428571428;0
boosted_tree;0.91;0.69;0.865625;0
boosted_tree_after_gs;0.91;0.68;0.8647321428571428;0
adaboost;0.91;0.66;0.8560267857142857;0
mlp;0.91;0.67;0.853125;0
mlp_after_gs;0.91;0.67;0.8584821428571429;0
ensemble1;0.91;0.66;0.8625;0
ensemble2;;;;0
stacking1;0.92;0.69;0.8671875;0
stacking2;0.91;0.68;0.8654017857142857;0
stacking3;0.92;0.68;0.8667410714285714;0
naive_bayes1;0.56;0.49;0.5303571428571429;1
naive_bayes2;;;;1
naive_bayes3;;;;1
logistic_regression_1;0.9;0.64;0.8466517857142857;1
logistic_regression_after_gs;0.9;0.64;0.8464285714285714;1
logistic_regression_after_rs;0.9;0.64;0.8459821428571429;1
knn_1;0.89;0.61;0.8283482142857143;1
knn_after_gs;0.89;0.62;0.8332589285714286;1
bagging_knn;0.89;0.61;0.8283482142857143;1
svc_1;0.91;0.64;0.85;1
svc_after_gs;0.91;0.64;0.85;1
dt;0.88;0.6;0.8145089285714284;1
random_forest;0.9;0.57;0.8408482142857142;1
boosted_tree;0.91;0.69;0.8640625;1
boosted_tree_after_gs;0.92;0.69;0.8669642857142857;1
adaboost;0.91;0.65;0.8535714285714285;1
mlp;0.91;0.66;0.8526785714285715;1
mlp_after_gs;0.91;0.66;0.8529017857142858;1
ensemble1;0.91;0.67;0.8622767857142857;1
ensemble2;;;;1
stacking1;0.91;0.69;0.8651785714285715;1
stacking2;0.91;0.69;0.866517857142857;1
stacking3;0.91;0.69;0.8667410714285714;1
naive_bayes1;0.53;0.47;0.5040178571428572;2
naive_bayes2;;;;2
naive_bayes3;;;;2
logistic_regression_1;0.91;0.65;0.8513392857142857;2
logistic_regression_after_gs;0.91;0.65;0.8513392857142857;2
logistic_regression_after_rs;0.91;0.65;0.8515625;2
knn_1;0.89;0.63;0.8337053571428571;2
knn_after_gs;0.9;0.65;0.8426339285714287;2
bagging_knn;0.89;0.64;0.8372767857142858;2
svc_1;0.91;0.66;0.8591517857142857;2
svc_after_gs;0.91;0.66;0.8591517857142857;2
dt;0.88;0.62;0.8165178571428573;2
random_forest;0.91;0.6;0.8504464285714286;2
boosted_tree;0.92;0.7;0.8678571428571429;2
boosted_tree_after_gs;0.92;0.7;0.8709821428571428;2
adaboost;0.91;0.68;0.8591517857142857;2
mlp;0.9;0.68;0.853125;2
mlp_after_gs;0.91;0.67;0.8575892857142857;2
ensemble1;0.92;0.68;0.8678571428571429;2
ensemble2;;;;2
stacking1;0.92;0.71;0.8700892857142857;2
stacking2;0.92;0.71;0.8732142857142858;2
stacking3;0.92;0.71;0.871875;2
naive_bayes1;0.56;0.49;0.5243303571428571;3
naive_bayes2;;;;3
naive_bayes3;;;;3
logistic_regression_1;0.9;0.65;0.8475446428571428;3
logistic_regression_after_gs;0.9;0.65;0.8477678571428571;3
logistic_regression_after_rs;0.9;0.65;0.8475446428571428;3
knn_1;0.89;0.63;0.8316964285714286;3
knn_after_gs;0.9;0.64;0.8408482142857142;3
bagging_knn;0.89;0.64;0.8330357142857142;3
svc_1;0.91;0.65;0.8522321428571429;3
svc_after_gs;0.91;0.65;0.8522321428571429;3
dt;0.88;0.61;0.8140625;3
random_forest;0.91;0.6;0.8473214285714286;3
boosted_tree;0.92;0.7;0.8694196428571429;3
boosted_tree_after_gs;0.92;0.71;0.8729910714285715;3
adaboost;0.91;0.67;0.8582589285714286;3
mlp;0.91;0.66;0.8520089285714286;3
mlp_after_gs;0.91;0.66;0.8522321428571429;3
ensemble1;0.92;0.68;0.8658482142857142;3
ensemble2;;;;3
stacking1;0.92;0.7;0.8676339285714286;3
stacking2;0.92;0.69;0.8678571428571429;3
stacking3;0.92;0.7;0.8689732142857143;3
naive_bayes1;0.59;0.5;0.5524553571428571;4
naive_bayes2;;;;4
naive_bayes3;;;;4
logistic_regression_1;0.91;0.67;0.8587053571428571;4
logistic_regression_after_gs;0.91;0.67;0.8591517857142857;4
logistic_regression_after_rs;0.91;0.67;0.8589285714285715;4
knn_1;0.9;0.65;0.840625;4
knn_after_gs;0.9;0.65;0.8435267857142857;4
bagging_knn;0.9;0.65;0.8441964285714287;4
svc_1;0.91;0.67;0.8618303571428572;4
svc_after_gs;0.91;0.67;0.8618303571428572;4
dt;0.88;0.61;0.8174107142857143;4
random_forest;0.91;0.59;0.8491071428571428;4
boosted_tree;0.92;0.72;0.8772321428571429;4
boosted_tree_after_gs;0.92;0.72;0.8774553571428572;4
adaboost;0.91;0.68;0.8645089285714286;4
mlp;0.91;0.71;0.8622767857142857;4
mlp_after_gs;0.91;0.66;0.8636160714285713;4
ensemble1;0.92;0.67;0.8700892857142857;4
ensemble2;;;;4
stacking1;0.92;0.71;0.8774553571428572;4
stacking2;0.92;0.71;0.8763392857142857;4
stacking3;0.92;0.71;0.8763392857142857;4
